Model,Prompt,Tier,Avg_Latency_s,Avg_Tokens_per_s,Avg_CPU_%,Avg_RAM_%,Avg_Temp_C,Accuracy_%,Performance_Score,family,Family,TokensNorm,AccNorm,LatNorm,RAMNorm,Normalized_Weighted_Score
qwen3:0.6b,What is the capital of Japan?,tier_1_simple,0.3792333602905273,4.143388497721396,1.0,22.35,58.98350128441993,83.86218172885604,89.27127903677271,qwen,qwen,0.10630566894785783,0.6817089337951893,0.3039746924440191,0.18000000000000113,0.468240009228896
qwen3:0.6b,Convert 45 degrees Celsius to Fahrenheit.,tier_1_simple,0.907909631729126,22.055091130723984,9.0,22.3,59.25464905435439,63.1227248437681,151.66824714829335,qwen,qwen,0.7254017256802022,0.086060565313078,0.7522278440122074,0.16000000000000086,0.44953329106356277
qwen3:0.6b,Summarize what a neural network is in one sentence.,tier_1_simple,1.01440167427063,25.04425687512093,5.65,22.3,57.09180116473424,67.66228877865574,165.418681313439,qwen,qwen,0.8287185774163308,0.2164392857597195,0.8425201386829488,0.16000000000000086,0.5119151889578584
qwen3:0.6b,What is 12 multiplied by 9?,tier_1_simple,0.4601314067840576,16.119914411980716,4.9,22.5,58.30576413019499,65.26065716903855,223.76641782575564,qwen,qwen,0.5202596139630643,0.14746313282139842,0.3725663926119855,0.24000000000000057,0.45382950690924806
qwen3:0.6b,Define artificial intelligence in simple terms.,tier_1_simple,1.164926528930664,7.733229745041488,6.55,22.700000000000003,61.061349143988295,66.62759795149906,43.85350995420447,qwen,qwen,0.23038413351638407,0.18672240809536644,0.9701469003439177,0.3200000000000017,0.22214099576637986
qwen3:0.6b,Explain why smaller language models might be faster but less accurate.,tier_2_reasoning,0.9724342823028564,2.5811517248924525,2.4,22.4,57.34464805752572,77.22690195033428,20.289840732141364,qwen,qwen,0.05230886889164048,0.49114012592343614,0.8069368966708532,0.2,0.2868782059995164
qwen3:0.6b,"If a robot can move 5 meters per second, how long will it take to travel 3 kilom",tier_2_reasoning,0.2026212215423584,17.530664295036683,0.7,22.4,58.836935013634,65.91083876269872,543.4362475069174,qwen,qwen,0.5690204552705975,0.16613669826848768,0.15422908804297222,0.2,0.526603373980191
qwen3:0.6b,Analyze the trade-offs between model size and inference latency on edge devices.,tier_2_reasoning,1.156749963760376,12.609556968155731,0.4,22.4,58.88950396936286,74.42675690490175,80.43612258814527,qwen,qwen,0.3989284096816334,0.41071845253697414,0.9632141679619425,0.2,0.37014406604135713
qwen3:0.6b,Summarize the main benefits and drawbacks of quantizing a neural network model.,tier_2_reasoning,0.5257236957550049,6.567432755738586,1.05,22.3,59.39386072894702,79.49222580034238,97.44945980259251,qwen,qwen,0.19008978887390163,0.5562014466136196,0.4281806727267177,0.16000000000000086,0.4412602149883029
qwen3:0.6b,"Given an array of temperatures [25, 30, 29, 35, 28], compute the average and ide",tier_2_reasoning,0.5873377323150635,7.502865616137087,1.85,22.3,61.005365959352005,86.16166836320811,108.22343609299206,qwen,qwen,0.22242187963469437,0.7477514280459938,0.4804218788503247,0.16000000000000086,0.5012098044976109
qwen3:0.6b,Write a JSON command that turns on a living room light and sets brightness to 70,tier_3_creative,0.6628797054290771,21.93601932253601,0.7,22.3,57.750203327683565,67.20101199426026,219.07670653554024,qwen,qwen,0.7212861545127053,0.20319116814669758,0.5444722804919441,0.16000000000000086,0.5245773561507026
qwen3:0.6b,Imagine a robot assistant that runs entirely on a Raspberry Pi. Describe its thr,tier_3_creative,0.4364478588104248,3.781875807969645,1.4,22.2,59.21677627959885,67.19403206021828,56.92030531081189,qwen,qwen,0.09381042573900523,0.20299070068280717,0.35248562562274816,0.12000000000000029,0.3159242553758946
qwen3:0.6b,Create a short poem about AI running on low-power devices.,tier_3_creative,1.07476806640625,13.856123800430952,0.2,22.2,59.50030802675917,83.05725296879277,106.0919486201307,qwen,qwen,0.4420144649901314,0.6585909464085111,0.8937034941415936,0.12000000000000029,0.4836423710902872
qwen3:0.6b,Simulate a conversation between two edge AI agents optimizing power consumption.,tier_3_creative,0.3613920211791992,16.907494456088937,0.95,22.15,58.52926254288768,78.74104996580662,358.4659308340739,qwen,qwen,0.5474813532727655,0.5346272721902707,0.288847407720066,0.1,0.6116112414221742
qwen3:0.6b,Generate a JSON plan for a robot to pick up an item from the table and place it ,tier_3_creative,0.9004185199737549,15.84317678838442,0.25,22.1,58.70017129389319,90.41296613592212,157.33737561653749,qwen,qwen,0.5106945170524962,0.869850989103906,0.7458762927236329,0.08000000000000114,0.6080578450074435
qwen3:1.7b,What is the capital of Japan?,tier_1_simple,0.6548025608062744,22.1576738483171,0.55,22.1,60.49444428005637,83.01248156693833,276.67815985378724,qwen,qwen,0.728947371633132,0.6573050876409932,0.5376238446372551,0.08000000000000114,0.6732457060180995
qwen3:1.7b,Convert 45 degrees Celsius to Fahrenheit.,tier_1_simple,0.4150400161743164,18.12313731840059,0.4,22.05,59.4741000602934,77.64221619571885,331.0560164393731,qwen,qwen,0.5894985594464146,0.5030681746684622,0.33433437986360137,0.06000000000000085,0.6138530002063842
qwen3:1.7b,Summarize what a neural network is in one sentence.,tier_1_simple,0.5069036483764648,20.576222052964148,0.25,22.0,61.58559679602942,90.01720458287994,358.3286741933495,qwen,qwen,0.6742864278649305,0.8584845042107063,0.4122235624763611,0.04000000000000057,0.7408152099139118
qwen3:1.7b,What is 12 multiplied by 9?,tier_1_simple,0.6338803768157959,17.66027798686297,0.3,22.0,58.07248152079574,66.43356640356367,182.2132328597582,qwen,qwen,0.573500393730514,0.1811497175662876,0.5198843783171543,0.04000000000000057,0.475768197098661
qwen3:1.7b,Define artificial intelligence in simple terms.,tier_1_simple,0.2787578105926513,23.23116762669594,0.95,22.0,57.43632579772867,68.5677262120543,551.6416467295948,qwen,qwen,0.7660513688766165,0.24244393636145561,0.21878365164874503,0.04000000000000057,0.6313969981293343
qwen3:1.7b,Explain why smaller language models might be faster but less accurate.,tier_2_reasoning,0.1315817832946777,29.07823526262672,1.9,22.0,58.57688124835174,69.4557881153415,1426.491247793864,qwen,qwen,0.9681480980944377,0.2679495523828899,0.09399628812270014,0.04000000000000057,0.7448448473281021
qwen3:1.7b,"If a robot can move 5 meters per second, how long will it take to travel 3 kilom",tier_2_reasoning,0.7497365474700928,20.584799295679225,0.65,22.0,56.62920646140455,93.65970590335968,253.76773758391508,qwen,qwen,0.6745828897508462,0.9630991033662758,0.6181163142485592,0.04000000000000057,0.7311396240605094
qwen3:1.7b,Analyze the trade-offs between model size and inference latency on edge devices.,tier_2_reasoning,0.2895348072052002,14.552802203496542,0.95,22.0,60.91130533589377,66.40572969741405,322.6301004822072,qwen,qwen,0.46609430044663325,0.18035023237755712,0.22792123348662363,0.04000000000000057,0.49095854319459575
qwen3:1.7b,Summarize the main benefits and drawbacks of quantizing a neural network model.,tier_2_reasoning,0.9643003940582277,26.2459699254158,0.5,22.0,60.27801077746677,79.83425150001015,215.0596855616301,qwen,qwen,0.8702543167039273,0.5660246088649197,0.800040349129128,0.04000000000000057,0.6539010395152212
qwen3:1.7b,"Given an array of temperatures [25, 30, 29, 35, 28], compute the average and ide",tier_2_reasoning,1.0896801948547363,21.050355557911924,0.35,21.95,58.913899948694414,91.72717964622672,175.58648004319087,qwen,qwen,0.6906742715720392,0.9075959087316199,0.9063471646347565,0.020000000000000285,0.6652790483213503
qwen3:1.7b,Write a JSON command that turns on a living room light and sets brightness to 70,tier_3_creative,0.3643221855163574,7.2277489353960895,1.05,21.95,59.878772784284735,78.90979054397587,152.36611044301216,qwen,qwen,0.21291280862799852,0.5394735924502535,0.29133183055063827,0.020000000000000285,0.4867408350761478
qwen3:1.7b,Imagine a robot assistant that runs entirely on a Raspberry Pi. Describe its thr,tier_3_creative,0.2690589427947998,26.14271932564404,0.55,22.0,57.27296975155838,68.12047475653786,638.1642652460356,qwen,qwen,0.8666855862217582,0.22959863374549536,0.2105601918645563,0.04000000000000057,0.6694417862394406
qwen3:1.7b,Create a short poem about AI running on low-power devices.,tier_3_creative,0.6387200355529785,15.556257588589933,0.3,21.95,58.67229363192014,92.11278774828986,220.8857711931245,qwen,qwen,0.5007775064347406,0.9186707810457809,0.5239878200614819,0.020000000000000285,0.6691146728753341
qwen3:1.7b,Simulate a conversation between two edge AI agents optimizing power consumption.,tier_3_creative,0.8554086685180664,7.279817672870836,0.6,21.9,57.25312651076959,78.67288030302973,66.17962648633805,qwen,qwen,0.2147125007460584,0.5326694027707378,0.7077134152566202,0.0,0.4041431380783207
qwen3:1.7b,Generate a JSON plan for a robot to pick up an item from the table and place it ,tier_3_creative,0.0240192413330078,5.476250239657543,6.05,21.9,56.06543834734339,73.32286379081002,1180.3154176081064,qwen,qwen,0.15237440208334907,0.37901404793127036,0.0027963401965261222,0.0,0.4740947071734155
qwen3:4b,What is the capital of Japan?,tier_1_simple,0.7788965702056885,20.678097631606786,0.5,21.95,60.39133188654351,69.48302799619962,182.1248679368036,qwen,qwen,0.6778076324263983,0.2687318964278997,0.6428404654866365,0.020000000000000285,0.5211745288016019
qwen3:4b,Convert 45 degrees Celsius to Fahrenheit.,tier_1_simple,0.2494347095489502,10.597451364089665,2.0,21.9,55.3339152061489,74.62358655529506,304.82421974630296,qwen,qwen,0.32938244463690575,0.4163715060752266,0.19392122984792462,0.0,0.5178801837077454
qwen3:4b,Summarize what a neural network is in one sentence.,tier_1_simple,0.675767183303833,16.92692412582671,0.5,21.9,58.163039028286896,90.15864184791891,222.54032082651548,qwen,qwen,0.5481529160027152,0.8625466586166691,0.5553992936476603,0.0,0.6669453052565548
qwen3:4b,What is 12 multiplied by 9?,tier_1_simple,0.7349793910980225,4.357709893142674,0.5,21.9,56.98087300696583,69.31342010470138,40.544447286336926,qwen,qwen,0.1137134254016866,0.26386066646212075,0.6056040412199911,0.0,0.3035227618553127
qwen3:4b,Define artificial intelligence in simple terms.,tier_1_simple,0.1352529525756836,18.374184737627125,1.8,21.9,61.17491841653396,63.858534225340094,807.796663767722,qwen,qwen,0.5981757059176613,0.10719340693355096,0.09710899298398185,0.0,0.5520065058503335
qwen3:4b,Explain why smaller language models might be faster but less accurate.,tier_2_reasoning,0.8337130546569824,26.49399766299912,0.3,21.9,58.99928708867712,90.30935291234636,283.58643638380323,qwen,qwen,0.8788270915787824,0.8668751615343591,0.6893181745132179,0.0,0.7737297501891771
qwen3:4b,"If a robot can move 5 meters per second, how long will it take to travel 3 kilom",tier_2_reasoning,0.2421226501464843,1.2820664949111655,0.65,21.9,56.27221452203023,88.93166056360417,45.222554292192925,qwen,qwen,0.00740757951009465,0.827307095487817,0.18772149316844358,0.0,0.5136108618166942
qwen3:4b,Analyze the trade-offs between model size and inference latency on edge devices.,tier_2_reasoning,0.0542237758636474,20.63423103018354,2.5,21.9,57.88413953443701,80.66364074927282,2591.613738952306,qwen,qwen,0.6762914370919948,0.5898451146716615,0.028406110345973516,0.0,0.7417888871691016
qwen3:4b,Summarize the main benefits and drawbacks of quantizing a neural network model.,tier_2_reasoning,0.468630313873291,27.395864553511977,0.8,21.9,61.79648266128044,70.53808658662861,403.7462337796599,qwen,qwen,0.9099990157143034,0.2990337472200447,0.37977243172031827,0.0,0.6777552441076712
qwen3:4b,"Given an array of temperatures [25, 30, 29, 35, 28], compute the average and ide",tier_2_reasoning,0.3640129566192627,18.17673251464864,0.35,21.9,59.2049969089848,87.34341618842224,424.4820626865994,qwen,qwen,0.5913510117418112,0.7816918618744323,0.29106964207128494,0.0,0.7128340348447971
qwen3:4b,Write a JSON command that turns on a living room light and sets brightness to 70,tier_3_creative,0.4626197814941406,18.39466897323461,5.199999999999999,21.95,60.57309189109237,74.14801437904835,288.5888896172121,qwen,qwen,0.5988837184248813,0.4027128171111717,0.3746762315934894,0.020000000000000285,0.5834320861846061
qwen3:4b,Imagine a robot assistant that runs entirely on a Raspberry Pi. Describe its thr,tier_3_creative,0.4121325016021728,14.407581977703776,0.9,22.0,55.72546306398742,92.05695549422498,314.1947440358019,qwen,qwen,0.4610749412607326,0.9170672486472861,0.33186916127785443,0.04000000000000057,0.689176318842908
qwen3:4b,Create a short poem about AI running on low-power devices.,tier_3_creative,0.5934314727783203,1.6638034023790964,0.35,22.0,59.721413766462206,90.36710222132793,24.916349067231945,qwen,qwen,0.020601848026318835,0.8685337527822607,0.48558862930814384,0.04000000000000057,0.46768313918357696
qwen3:4b,Simulate a conversation between two edge AI agents optimizing power consumption.,tier_3_creative,0.4960255622863769,10.520538918825824,0.65,22.0,57.68222202842759,82.74074948691893,172.0223917576156,qwen,qwen,0.326724060196738,0.6495007959941764,0.40300026906157743,0.04000000000000057,0.5409398090646326
qwen3:4b,Generate a JSON plan for a robot to pick up an item from the table and place it ,tier_3_creative,0.5541398525238037,21.065236343211893,1.35,22.0,60.04657891564266,76.8929942485156,287.1219059840961,qwen,qwen,0.6911886076845268,0.4815501169413344,0.4522741161347394,0.04000000000000057,0.6264856549292631
qwen3:8b,What is the capital of Japan?,tier_1_simple,0.3623216152191162,2.963425218094012,0.95,22.0,60.017059990902666,83.75212613456088,66.66095990964243,qwen,qwen,0.0655216838363419,0.6785480778698166,0.28963559035769015,0.04000000000000057,0.46784597882394374
qwen3:8b,Convert 45 degrees Celsius to Fahrenheit.,tier_1_simple,0.277334451675415,12.628335032500967,0.55,22.0,57.08408452679251,83.47897075372488,366.889666275472,qwen,qwen,0.3995774504695137,0.6707029082571995,0.21757681647392677,0.04000000000000057,0.61352648937018
qwen3:8b,Summarize what a neural network is in one sentence.,tier_1_simple,0.4572150707244873,10.04611850600331,0.5,21.95,61.36257715664532,74.04099637240324,159.20390211435432,qwen,qwen,0.31032629987044824,0.3996392023386364,0.370093694478254,0.020000000000000285,0.4680035417541194
qwen3:8b,What is 12 multiplied by 9?,tier_1_simple,0.9908676147460938,26.43941436445628,0.4,22.0,60.46609816186831,83.93198003582164,221.7188732956774,qwen,qwen,0.8769404867381541,0.6837135787527322,0.8225661197095591,0.04000000000000057,0.6873770443791695
qwen3:8b,Define artificial intelligence in simple terms.,tier_1_simple,0.6893415451049805,13.513211918824366,0.35,21.9,57.90958520673068,86.12426629472937,166.41589076754138,qwen,qwen,0.4301621359257716,0.7466772205008947,0.5669087007964506,0.0,0.582686280361287
qwen3:8b,Explain why smaller language models might be faster but less accurate.,tier_2_reasoning,0.7169351577758789,20.37551717667082,0.4499999999999999,22.0,60.14000491363201,70.38879550136176,197.2951915231683,qwen,qwen,0.6673493097122871,0.29474602686840606,0.5903047268923913,0.04000000000000057,0.5333025865669584
qwen3:8b,"If a robot can move 5 meters per second, how long will it take to travel 3 kilom",tier_2_reasoning,0.809126615524292,3.7529191958509904,0.8,22.0,58.002060240528266,79.62767956650028,36.482302186569385,qwen,qwen,0.09280957591772937,0.5600917517100236,0.6684718656802557,0.04000000000000057,0.3674569827440476
qwen3:8b,Analyze the trade-offs between model size and inference latency on edge devices.,tier_2_reasoning,0.246575117111206,21.421320516745865,0.75,21.9,59.845179165642975,64.77092471787198,540.7690169527175,qwen,qwen,0.7034962208811357,0.13339775313733065,0.19149664340122938,0.0,0.5831184856134076
qwen3:8b,Summarize the main benefits and drawbacks of quantizing a neural network model.,tier_2_reasoning,0.453235387802124,7.723110668995492,0.55,21.9,60.68374072456916,94.52862546510092,157.59915047052723,qwen,qwen,0.23003438005038426,0.9880549410317019,0.36671940758745564,0.0,0.6150863528121732
qwen3:8b,"Given an array of temperatures [25, 30, 29, 35, 28], compute the average and ide",tier_2_reasoning,0.7222766876220703,27.24099045696393,0.15,21.9,56.09440470210804,73.77208813840254,274.43516678025094,qwen,qwen,0.9046459823133237,0.39191601306991963,0.5948336942720611,0.0,0.6604664579918932
qwen3:8b,Write a JSON command that turns on a living room light and sets brightness to 70,tier_3_creative,0.7263624668121338,29.137936816775493,0.35,21.9,57.91229088946588,85.17713426084967,337.04677630722284,qwen,qwen,0.9702116091693813,0.7194750785237234,0.5982979378886206,0.0,0.7842675796471453
qwen3:8b,Imagine a robot assistant that runs entirely on a Raspberry Pi. Describe its thr,tier_3_creative,1.1163742542266846,19.772704956317256,0.35,21.9,58.34720387489409,76.20574099006797,133.77379915422864,qwen,qwen,0.6465138438597369,0.4618118333210584,0.92898047898621,0.0,0.5113529917429703
